regionname,chaptername,year,month,event_name,seriesOrEvent,eventID,events,teens_total,new_teens,avg_attendance
Argentina,Buenos Aires,2024,10,PRUEBA,Event,511566,1,1,1,1
Atlanta,Regionwide,2024,8,JSU Shabbat,Event,498634,1,7,2,7
Atlanta,Regionwide,2024,9,JSU Shabbat,Event,510490,1,6,6,6
Atlanta,Regionwide,2024,10,LNL,Event,511542,1,1,1,1
Atlanta,Regionwide,2024,10,DNL,Event,511547,1,4,3,4
Atlanta,Regionwide,2024,10,LNL,Series,19175,2,19,14,9
Atlanta,Regionwide,2024,10,Torah Connection,Event,511398,1,1,0,1
Atlanta,Regionwide,2025,2,Torah Learning,Series,19866,1,26,26,26
Atlanta,Regionwide,2025,3,DNL,Event,524309,1,20,19,20
Atlanta,Regionwide,2025,3,Torah Learning,Series,19866,1,10,10,10
Atlanta,Atlanta,2024,8,Johns Creek High School,Series,16943,1,97,90,97
Atlanta,Atlanta,2024,8,LNL,Event,494392,1,19,1,19
Atlanta,Atlanta,2024,8,Chamblee Charter High School,Series,16931,1,97,90,97
Atlanta,Atlanta,2024,8,Roswell High School,Series,16938,1,23,22,23
Atlanta,Atlanta,2024,8,LNL,Series,17761,10,66,14,8
Atlanta,Atlanta,2024,8,JSU Shabbat,Event,494409,1,9,4,9
Atlanta,Atlanta,2024,8,Chattahoochee High School,Series,16935,1,106,104,106
Atlanta,Atlanta,2024,8,LNL,Event,494394,1,3,0,3
Atlanta,Atlanta,2024,8,The Weber School,Series,18632,1,84,84,84
Atlanta,Atlanta,2024,8,Torah Connection,Event,498777,1,6,5,6
Atlanta,Atlanta,2024,8,Milton High School,Series,16937,1,30,27,30
Atlanta,Atlanta,2024,8,Leadership and Learning,Series,17373,2,15,1,7
Atlanta,Atlanta,2024,8,Northview High School,Series,16928,1,33,33,33
Atlanta,Atlanta,2024,8,JSU Leadership Shabbat,Event,494391,1,26,0,26
Atlanta,Atlanta,2024,8,Druid Hills High School,Series,16940,1,49,49,49
Atlanta,Atlanta,2024,8,Alpharetta High School,Series,16930,1,89,87,89
Atlanta,Atlanta,2024,8,Lakeside High School,Series,16939,2,80,71,57
Atlanta,Atlanta,2024,8,Midtown High School,Series,16936,1,59,57,59
Atlanta,Atlanta,2024,8,North Atlanta High School,Series,16942,1,29,29,29
Atlanta,Atlanta,2024,8,Centennial High School,Series,16929,1,47,44,47
Atlanta,Atlanta,2024,8,Dunwoody High School,Series,16933,2,144,137,114
Atlanta,Atlanta,2024,8,Lassiter High School,Series,16934,1,38,38,38
Atlanta,Atlanta,2024,8,Innovation Academy,Series,16932,2,41,40,30
Atlanta,Atlanta,2024,9,Milton High School,Series,16937,1,19,17,19
Atlanta,Atlanta,2024,9,Lakeside High School,Series,16939,1,30,29,30
Atlanta,Atlanta,2024,9,Riverwood International Charter School,Series,7082,1,73,72,73
Atlanta,Atlanta,2024,9,Centennial High School,Series,16929,1,28,27,28
Atlanta,Atlanta,2024,9,Lassiter High School,Series,16934,1,26,26,26
Atlanta,Atlanta,2024,9,Leadership Program,Event,510431,1,32,10,32
Atlanta,Atlanta,2024,9,Johns Creek High School,Series,16943,1,47,44,47
Atlanta,Atlanta,2024,9,Chattahoochee High School,Series,16935,1,47,46,47
Atlanta,Atlanta,2024,9,Druid Hills High School,Series,16940,1,35,35,35
Atlanta,Atlanta,2024,9,The Weber School,Series,18632,1,27,27,27
Atlanta,Atlanta,2024,9,North Atlanta High School,Series,16942,1,23,21,23
Atlanta,Atlanta,2024,9,Chamblee Charter High School,Series,16931,1,36,34,36
Atlanta,Atlanta,2024,9,Roswell High School,Series,16938,1,18,17,18
Atlanta,Atlanta,2024,9,Alpharetta High School,Series,16930,1,56,55,56
Atlanta,Atlanta,2024,9,LNL,Series,17761,1,2,2,2
Atlanta,Atlanta,2024,9,LNL,Series,19013,2,48,43,24
Atlanta,Atlanta,2024,9,Northview High School,Series,16928,1,26,26,26
Atlanta,Atlanta,2024,10,Forsyth Central High School,Series,19413,1,7,7,7
Atlanta,Atlanta,2024,10,Torah Connection,Event,509862,1,1,1,1
Atlanta,Atlanta,2024,10,Lassiter High School,Series,16934,1,33,32,33
Atlanta,Atlanta,2024,10,Innovation Academy,Series,16932,1,17,17,17
Atlanta,Atlanta,2024,10,Northview High School,Series,16928,1,24,24,24
Atlanta,Atlanta,2024,10,Chattahoochee High School,Series,16935,1,73,73,73
Atlanta,Atlanta,2024,10,Riverwood International Charter School,Series,7082,1,69,69,69
Atlanta,Atlanta,2024,10,Shabbat with Chaim Neiditch,Event,511541,1,6,6,6
Atlanta,Atlanta,2024,10,Midtown High School,Series,16936,1,31,31,31
Atlanta,Atlanta,2024,10,Roswell High School,Series,16938,1,16,16,16
Atlanta,Atlanta,2024,11,LNL,Series,19348,2,185,83,92
Atlanta,Atlanta,2024,11,Leadership and Learning,Series,17373,3,9,7,3
Atlanta,Atlanta,2024,11,Alpharetta High School,Series,16930,1,52,51,52
Atlanta,Atlanta,2024,11,North Gwinnett High School,Series,16941,1,12,10,12
Atlanta,Atlanta,2024,11,Northview High School,Series,16928,1,21,21,21
Atlanta,Atlanta,2024,11,LNL,Series,19313,1,17,16,17
Atlanta,Atlanta,2024,11,Roswell High School,Series,16938,1,14,14,14
Atlanta,Atlanta,2024,11,Shabbat Meal,Event,513341,1,6,6,6
Atlanta,Atlanta,2024,11,Milton High School,Series,16937,1,22,19,22
Atlanta,Atlanta,2024,11,Forsyth Central High School,Series,19413,1,7,7,7
Atlanta,Atlanta,2024,11,Dunwoody High School,Series,16933,1,148,136,148
Atlanta,Atlanta,2024,11,Centennial High School,Series,16929,1,19,19,19
Atlanta,Atlanta,2024,11,Midtown High School,Series,16936,1,28,28,28
Atlanta,Atlanta,2024,11,Lakeside High School,Series,16939,1,51,43,51
Atlanta,Atlanta,2024,11,Chamblee Charter High School,Series,16931,1,52,52,52
Atlanta,Atlanta,2024,11,The Weber School,Series,18632,1,44,44,44
